Country,Comparison,Metric,Δ (Mean),SD,t-value,p-value
India,Inclusive vs Exclusive,Accuracy,0.084079449,0.00219582,121.08577688313773,9.077000955801004e-16
India,Inclusive vs Exclusive,MCC,0.16845419068969408,0.004844886,109.9507560269821,2.1615469396958065e-15
