Country,Model,Accuracy (mean ± SD),MCC (mean ± SD),Balanced Accuracy (mean ± SD),F1-Score (mean ± SD)
INDIA,GBM,0.779 ± 0.007,0.557 ± 0.014,0.779 ± 0.008,0.766 ± 0.011
INDIA,FASTAI,0.780 ± 0.002,0.559 ± 0.004,0.779 ± 0.008,0.766 ± 0.011
