Country,Model,Accuracy (mean ± SD),MCC (mean ± SD),Balanced Accuracy (mean ± SD),F1-Score (mean ± SD)
MYANMAR,CAT,0.896 ± 0.006,0.690 ± 0.017,0.834 ± 0.010,0.934 ± 0.004
MYANMAR,NN_TORCH,0.893 ± 0.005,0.685 ± 0.016,0.837 ± 0.011,0.932 ± 0.003
