Country,Model,Accuracy (mean ± SD),MCC (mean ± SD),Balanced Accuracy (mean ± SD),F1-Score (mean ± SD)
MYANMAR,CAT,0.857 ± 0.009,0.553 ± 0.029,0.747 ± 0.012,0.911 ± 0.006
MYANMAR,NeuralNetFTTransformer,0.847 ± 0.005,0.517± 0.017,0.724 ± 0.014,0.906 ± 0.003
