Country,Comparison,Metric,Δ (Mean),SD,t-value,p-value
Myanmar,Inclusive vs Exclusive,Accuracy,0.03909017713365539,0.009426844257494517,13.112977206927738,3.604846432089499e-07
Myanmar,Inclusive vs Exclusive,MCC,0.13708732823759648,0.03130617902619646,13.84736844490569,2.2544857654348098e-07
