Country,Comparison,Metric,Δ (Mean),SD,t-value,p-value
Pakistan,Inclusive vs Exclusive,Accuracy,0.0755624783662167,0.005535964491904568,43.163126792787,9.600469788051839e-12
Pakistan,Inclusive vs Exclusive,MCC,0.15508812816252598,0.01115287259499403,43.97357890251672,8.126325940417344e-12
