Country,Model,Accuracy (mean ± SD),MCC (mean ± SD),Balanced Accuracy (mean ± SD),F1-Score (mean ± SD)
PAKISTAN,GBM,0.881 ± 0.007,0.757 ± 0.014,0.876 ± 0.008,0.858 ± 0.009
PAKISTAN,NN_TORCH,0.882 ± 0.007,0.758 ± 0.014,0.878 ± 0.007,0.860 ± 0.008
