Country,Comparison,Metric,Δ (Mean),SD,t-value,p-value
Combine,Inclusive vs Exclusive,Accuracy,0.081772417,0.001194724,216.44088186077028,4.880630010067134e-18
Combine,Inclusive vs Exclusive,MCC,0.16348873546379272,0.002409009,214.60977088991856,5.268394311224704e-18
