Country,Model,Accuracy (mean ± SD),MCC (mean ± SD),Balanced Accuracy (mean ± SD),F1-Score (mean ± SD)
COMBINE,CAT,0.862 ± 0.004,0.724 ± 0.008,0.862 ± 0.004,0.855 ± 0.005
COMBINE,NN_TORCH,0.865 ± 0.001,0.730 ± 0.001,0.865 ± 0.001,0.859 ± 0.001
