Country,Model,Accuracy (mean ± SD),MCC (mean ± SD),Balanced Accuracy (mean ± SD),F1-Score (mean ± SD)
COMBINE,GBM,0.784 ± 0.001,0.567 ± 0.002,0.784 ± 0.001,0.775 ± 0.001
COMBINE,FASTAI,0.782 ± 0.001,0.564± 0.003,0.782± 0.001,0.773 ± 0.003
